Symbol;Name;Country;IPO Year;Sector;Industry
SAIA;Saia Inc. Common Stock;United States;;Transportation;Trucking Freight/Courier Services
SAIC;SCIENCE APPLICATIONS INTERNATIONAL CORPORATION Common Stock;;;Technology;EDP Services
SAII;Software Acquisition Group Inc. II Class A Common Stock;United States;2020;Finance;Business Services
SAIIU;Software Acquisition Group Inc. II Unit;United States;2020;Finance;Business Services
SAIIW;Software Acquisition Group Inc. II Warrant;United States;2020;Finance;Business Services
SAIL;SailPoint Technologies Holdings Inc. Common Stock;United States;2017;Technology;Computer Software: Prepackaged Software
SAK;Saratoga Investment Corp 7.25% Notes due 2025;United States;2020;;
SAL;Salisbury Bancorp Inc. Common Stock;United States;;Finance;Savings Institutions
SALM;Salem Media Group Inc. Class A Common Stock;United States;1999;Consumer Services;Broadcasting
SALT;Scorpio Bulkers Inc. Common Stock;Monaco;2013;Transportation;Marine Transportation
SAM;Boston Beer Company Inc. (The) Common Stock;United States;;Consumer Non-Durables;Beverages (Production/Distribution)
SAMG;Silvercrest Asset Management Group Inc. Class A Common Stock;United States;2013;Finance;Investment Managers
SAN;Banco Santander S.A. Sponsored ADR (Spain);Spain;;Finance;Commercial Banks
SAND          ;Sandstorm Gold Ltd. Ordinary Shares (Canada);Canada;;Basic Industries;Precious Metals
SANM;Sanmina Corporation Common Stock;United States;1993;Technology;Electrical Products
SANW;S&W Seed Company Common Stock (NV);United States;;Consumer Non-Durables;Farming/Seeds/Milling
SAP;SAP  SE ADS;Germany;;Technology;Computer Software: Prepackaged Software
SAR;Saratoga Investment Corp New;United States;;;
SASR;Sandy Spring Bancorp Inc. Common Stock;United States;;Finance;Major Banks
SATS;EchoStar  Corporation Common Stock;United States;;Consumer Services;Telecommunications Equipment
SAVA;Cassava Sciences Inc. Common Stock;United States;;Health Care;Major Pharmaceuticals
SAVE;Spirit Airlines Inc. Common Stock;United States;;Transportation;Air Freight/Delivery Services
SB;Safe Bulkers Inc Common Stock ($0.001 par value);Monaco;2008;Transportation;Marine Transportation
SB.PRC;Safe Bulkers Inc;;;;
SB.PRD;Safe Bulkers Inc;;;;
SBAC;SBA Communications Corporation Class A Common Stock;United States;1999;Consumer Services;Real Estate Investment Trusts
SBBA;Scorpio Tankers Inc. 7.00% Senior Notes due 2025;Monaco;2020;Transportation;Marine Transportation
SBBP;Strongbridge Biopharma plc Ordinary Shares;United States;2015;Health Care;Major Pharmaceuticals
SBCF;Seacoast Banking Corporation of Florida Common Stock;United States;;Finance;Major Banks
SBE;Switchback Energy Acquisition Corporation Class A Common Stock;;2019;Capital Goods;Industrial Specialties
SBE.U;Switchback Energy Acquisition Corporation Units;;2019;;
SBE.WS;Switchback Energy Acquisition Corporation Warrant;;;;
SBFG;SB Financial Group Inc. Common Stock;United States;;Finance;Major Banks
SBG;Sandbridge Acquisition Corporation Class A Common Stock;;2020;Finance;Business Services
SBG.U;Sandbridge Acquisition Corporation Units;;2020;;
SBG.WS;Sandbridge Acquisition Corporation Warrants each whole warrant exercisable for one share of Class A Common Stock at an exercise price of $11.50;;;;
SBGI;Sinclair Broadcast Group Inc. Class A Common Stock;United States;1995;Consumer Services;Broadcasting
SBH;Sally Beauty Holdings Inc. (Name to be changed from Sally Holdings Inc.) Common Stock;United States;;Consumer Services;Other Specialty Stores
SBI;Western Asset Intermediate Muni Fund Inc Common Stock;United States;1992;;
SBLK;Star Bulk Carriers Corp. Common Shares;Greece;;Transportation;Marine Transportation
SBLKZ;Star Bulk Carriers Corp. 8.30% Senior Notes due 2022;Greece;;Transportation;Marine Transportation
SBNY;Signature Bank Common Stock;United States;2004;Finance;Major Banks
SBNYP;Signature Bank Depositary shares each representing a 1/40th ownership interest in a share of 5.000% Noncumulative Perpetual Series A Preferred Stock;United States;;Finance;Major Banks
SBOW;SilverBow Resorces Inc. Common Stock;;;Energy;Oil & Gas Production
SBR;Sabine Royalty Trust Common Stock;United States;;Energy;Oil & Gas Production
SBRA;Sabra Health Care REIT Inc. Common Stock;United States;;Consumer Services;Real Estate Investment Trusts
SBS;Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares);Brazil;2002;Public Utilities;Water Supply
